CASRN,DTXSID,preferred_name,MammaryTumorEvidence,MammaryTumorRefs,Genotoxicity,HormoneSummary,INCHIKEY,SMILES
532-27-4,DTXSID9020293,2-Chloroacetophenone,MC,"NTP_equivocal, ToxRefDB, CCRIS_equivocal, LCDB_equivocal, Rudel2007",positive,negative,IMACFCSSMIZSPP-UHFFFAOYSA-N,C1=CC=C(C=C1)C(=O)CCl
533-74-4,DTXSID7024902,Dazomet,MC,ToxRefDB,positive,negative,QAYICIQNSGETAS-UHFFFAOYSA-N,CN1CN(C(=S)SC1)C
53757-28-1,DTXSID4020951,4-(5-Nitro-2-furyl)thiazole,MC,"CCRIS, LCDB, Rudel2007",positive,-,NOMAVCLLBXUQRD-UHFFFAOYSA-N,C1=C(OC(=C1)[N+](=O)[O-])C2=CSC=N2
54-31-9,DTXSID6020648,Furosemide,MC,"IARC, NTP, CCRIS, LCDB, Rudel2007",positive,negative,ZZUFCTLCJUWOSV-UHFFFAOYSA-N,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl
54-85-3,DTXSID8020755,Isoniazid,MC,"LCDB, Rudel2007",positive,negative,QRXWMOHMRWLFEY-UHFFFAOYSA-N,C1=CN=CC=C1C(=O)NN
5405-53-8,DTXSID8075253,"9H-Fluorene, 2,7-dinitro-",MC,CCRIS,positive,-,IHZCVUBSTYOFSJ-UHFFFAOYSA-N,C1C2=C(C=CC(=C2)[N+](=O)[O-])C3=C1C=C(C=C3)[N+](=O)[O-]
542-75-6,DTXSID1022057,"1,3-Dichloropropene",MC,EPA_OPP,positive,-,UOORRWUZONOOLO-UHFFFAOYSA-N,C(C=CCl)Cl
55-18-5,DTXSID2021028,N-Nitrosodiethylamine,MC,ROC15,positive,negative,WBNQDOYYEUMPFS-UHFFFAOYSA-N,CCN(CC)N=O
551-92-8,DTXSID5020497,"1,2-Dimethyl-5-nitroimidazole",MC,"LCDB, Rudel2007",positive,-,IBXPYPUJPLLOIN-UHFFFAOYSA-N,CC1=NC=C(N1C)[N+](=O)[O-]
55120-47-3,DTXSID10203641,"N,N'-Dimethylnitrosourea",MC,"CCRIS, Rudel2007",-,-,VSMLKOBHLXAHFD-UHFFFAOYSA-N,CN(C)C(=O)NN=O
5522-43-0,DTXSID6020983,1-Nitropyrene,MC,"IARC, ROC15, CCRIS, LCDB, Rudel2007",positive,-,ALRLPDGCPYIVHP-UHFFFAOYSA-N,C1=CC2=C3C(=C1)C=CC4=C(C=CC(=C43)C=C2)[N+](=O)[O-]
55283-68-6,DTXSID8032386,Ethalfluralin,MC,"EPA_OPP, ToxRefDB, CCRIS",positive,negative,PTFJIKYUEPWBMS-UHFFFAOYSA-N,CCN(CC(=C)C)C1=C(C=C(C=C1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-]
55335-06-3,DTXSID0032497,Triclopyr,MC,EPA_OPP_equivocal,-,negative,REEQLXCGVXDJSQ-UHFFFAOYSA-N,C1=C(C(=NC(=C1Cl)Cl)OCC(=O)O)Cl
55406-53-6,DTXSID0028038,3-Iodo-2-propynyl-N-butylcarbamate,MC,EPA_OPP_dismissed,negative,negative,WYVVKGNFXHOCQV-UHFFFAOYSA-N,CCCCNC(=O)OCC#CI
555-84-0,DTXSID2020973,1-[(5-Nitrofurfurylidene)amino]-2-imidazolidinone,MC,"IARC, CCRIS, LCDB, Rudel2007",positive,-,VSVAVMVWTLLTCH-BJMVGYQFSA-N,C1CN(C(=O)N1)/N=C/C2=CC=C(O2)[N+](=O)[O-]
