CASRN,DTXSID,preferred_name,MammaryTumorEvidence,MammaryTumorRefs,Genotoxicity,HormoneSummary,INCHIKEY,SMILES
75-09-2,DTXSID0020868,Dichloromethane,MC,"IARC, ROC15, NTP, CCRIS, LCDB, Rudel2007",positive,-,YMWUJEATGCHHMB-UHFFFAOYSA-N,C(Cl)Cl
75-21-8,DTXSID0020600,Ethylene oxide,MC,"IARC, ROC15, NTP, EPA_IRIS, LCDB, Rudel2007",positive,-,IAYPIBMASNFSPL-UHFFFAOYSA-N,C1CO1
75-34-3,DTXSID1020437,"1,1-Dichloroethane",MC,"NTP_equivocal, ToxRefDB, CCRIS_equivocal, LCDB_equivocal, Rudel2007",positive,-,SCYULBFZEHDVBN-UHFFFAOYSA-N,CC(Cl)Cl
75-35-4,DTXSID8021438,"1,1-Dichloroethylene",MC,"IARC, CCRIS, LCDB, Rudel2007",positive,-,LGXVIGDEPROXKC-UHFFFAOYSA-N,C=C(Cl)Cl
75-52-5,DTXSID2020977,Nitromethane,MC,"IARC, ROC15, NTP, ToxValDB, CCRIS, LCDB, Rudel2007",positive,-,LYGJENNIWJXYER-UHFFFAOYSA-N,C[N+](=O)[O-]
75-55-8,DTXSID8024286,Propyleneimine,MC,"IARC, ROC15, CCRIS, Rudel2007",positive,-,OZDGMOYKSFPLSE-UHFFFAOYSA-N,CC1CN1
75-56-9,DTXSID5021207,"1,2-Propylene oxide",MC,"IARC, ROC15, EPA_OPP_dismissed, ToxRefDB, LCDB, Rudel2007",positive,-,GOOHAUXETOMSMM-UHFFFAOYSA-N,CC1CO1
75198-31-1,DTXSID0020947,"3-(5-Nitro-2-furyl)-imidazo(1,2-alpha) pyridine",MC,"LCDB, Rudel2007",-,-,ZDFULRQJRIJLRF-UHFFFAOYSA-N,C1=CC2=NC=C(N2C=C1)C3=CC=C(O3)[N+](=O)[O-]
75321-20-9,DTXSID5074975,"1,3-Dinitropyrene",MC,"IARC, CCRIS, Rudel2007",positive,-,KTNUVDBUEAQUON-UHFFFAOYSA-N,C1=CC2=C3C(=C1)C=CC4=C(C=C(C(=C43)C=C2)[N+](=O)[O-])[N+](=O)[O-]
75443-72-0,-,"Anti-3,4-Dihydroxy-1,2-epoxy-1,2,3,4-tetrahydrobenzo(c)phenanthrene",MC,CCRIS,-,-,QGMAOLZIDYVIDK-XDNAFOTISA-N,C1=CC=C2C(=C1)C=CC3=C2C4=C(C=C3)[C@H]([C@@H]([C@H]5[C@@H]4O5)O)O
759-73-9,DTXSID8020593,1-Ethyl-1-nitrosourea,MC,"ROC15, CCRIS, Rudel2007",positive,-,FUSGACRLAFQQRL-UHFFFAOYSA-N,CCN(C(=O)N)N=O
76-06-2,DTXSID0020315,Trichloronitromethane,MC,"ToxRefDB, CCRIS",positive,-,LFHISGNCFUNFFM-UHFFFAOYSA-N,C([N+](=O)[O-])(Cl)(Cl)Cl
760-56-5,DTXSID3020049,1-Allyl-1-nitrosourea,MC,"CCRIS, LCDB, Rudel2007",positive,-,WBBDVRPSJSJSPC-UHFFFAOYSA-N,C=CCN(C(=O)N)N=O
76180-96-6,DTXSID4020745,"2-Amino-3-methyl-3H-imidazo[4,5-f]quinoline",MC,"IARC, ROC15, CCRIS, LCDB, Rudel2007",positive,-,ARZWATDYIYAUTA-UHFFFAOYSA-N,CN1C2=C(C3=C(C=C2)N=CC=C3)N=C1N
7632-00-0,DTXSID0020941,Sodium nitrite,MC,IARC,positive,negative,LPXPTNMVRIOKMN-UHFFFAOYSA-M,N(=O)[O-].[Na+]
77-46-3,DTXSID1021295,"4,4'-Sulfonylbisacetanilide",MC,"LCDB, Rudel2007",negative,-,AMTPYFGPPVFBBI-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=C1)S(=O)(=O)C2=CC=C(C=C2)NC(=O)C
77094-11-2,DTXSID6020800,MeIQ,MC,"IARC, ROC15, CCRIS, Rudel2007",positive,-,GMGWMIJIGUYNAY-UHFFFAOYSA-N,CC1=CC2=C(C=CC=N2)C3=C1N(C(=N3)N)C
77439-76-0,DTXSID6020276,3-Chloro-4-(dichloromethyl)-5-hydroxy-2(5H)-furanone,MC,"IARC, ToxValDB, CCRIS, LCDB, Rudel2007",positive,-,WNTRMRXAGJOLCU-UHFFFAOYSA-N,C1(C(=C(C(=O)O1)Cl)C(Cl)Cl)O
77500-04-0,DTXSID1020801,MeIQx,MC,CCRIS,positive,-,DVCCCQNKIYNAKB-UHFFFAOYSA-N,CC1=CN=C2C=CC3=C(C2=N1)N=C(N3C)N
78-79-5,DTXSID2020761,Isoprene,MC,"IARC, ROC15, NTP, CCRIS, LCDB, Rudel2007",positive,-,RRHGJUQNOFWUDK-UHFFFAOYSA-N,CC(=C)C=C
78-87-5,DTXSID0020448,"1,2-Dichloropropane",MC,"IARC, NTP_equivocal, ToxRefDB, CCRIS_equivocal, LCDB_equivocal, Rudel2007",positive,-,KNKRKFALVUDBJE-UHFFFAOYSA-N,CC(CCl)Cl
78587-05-0,DTXSID7024299,Hexythiazox,MC,CCRIS,-,"E2, *P4",XGWIJUOSCAQSSV-XHDPSFHLSA-N,C[C@H]1[C@@H](SC(=O)N1C(=O)NC2CCCCC2)C3=CC=C(C=C3)Cl
79-01-6,DTXSID0021383,Trichloroethylene,MC,IARC,positive,-,XSTXAVWGXDQKEL-UHFFFAOYSA-N,C(=C(Cl)Cl)Cl
79-06-1,DTXSID5020027,Acrylamide,MC,"IARC, ROC15, NTP, ToxRefDB, ToxValDB, CCRIS, LCDB, Rudel2007",positive,negative,HRPVXLWXLXDGHG-UHFFFAOYSA-N,C=CC(=O)N
8015-12-1,DTXSID7021071,Norlestrin,MC,"LCDB, Rudel2007",negative,-,GEONECATAKDDLT-JDSZYESASA-N,CC(=O)O[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@H]34)C)C#C.C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)O
82097-50-5,DTXSID0024345,Triasulfuron,MC,ToxRefDB,-,-,XOPFESVZMSQIKC-UHFFFAOYSA-N,CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=CC=CC=C2OCCCl
82617-23-0,DTXSID801002821,Oxiran-2-yl hydrogen carbonimidate,MC,"CCRIS, Rudel2007",positive,-,PSNIYGKWARCUAN-UHFFFAOYSA-N,C1C(O1)OC(=O)N
83349-67-1,-,"Anti-1,2,3,10b-tetrahydrofluoranthene-2,3-diol 1,10b-oxide",MC,"CCRIS, Rudel2007",positive,-,XFISQOLBVZLENT-SSHXOBKSSA-N,C1=CC=C2C(=C1)C3=C4[C@@]25[C@@H](O5)C(C(C4=CC=C3)O)O
834-12-8,DTXSID1023869,Ametryn,MC,"EPA_OPP_dismissed, ToxRefDB",positive,"E2, P4",RQVYBGPQFYCBGX-UHFFFAOYSA-N,CCNC1=NC(=NC(=N1)SC)NC(C)C
834-24-2,DTXSID001019381,4-aminostilbene,MC,"CCRIS, Rudel2007",positive,-,VFPLSXYJYAKZCT-VOTSOKGWSA-N,C1=CC=C(C=C1)/C=C/C2=CC=C(C=C2)N
838-88-0,DTXSID5020867,"4,4'-Methylenebis(o-toluidine)",MC,"IARC, LCDB, Rudel2007",positive,P4,WECDUOXQLAIPQW-UHFFFAOYSA-N,CC1=C(C=CC(=C1)CC2=CC(=C(C=C2)N)C)N
843-23-2,DTXSID001033709,trans-N-Hydroxy-4-acetylaminostilbene,MC,"CCRIS, Rudel2007",positive,-,RWXNJPBIVZZSQA-BQYQJAHWSA-N,CC(=O)N(C1=CC=C(C=C1)/C=C/C2=CC=CC=C2)O
869-01-2,DTXSID2020214,N-Butyl-N-nitrosourea,MC,"CCRIS, LCDB, Rudel2007",positive,-,LSWOCDLIYSKTRX-UHFFFAOYSA-N,CCCCN(C(=O)N)N=O
87625-62-5,DTXSID20892005,Ptaquiloside,MC,"CCRIS, Rudel2007",positive,-,GPHSJPVUEZFIDE-YVPLJZHISA-N,C[C@@H]1C[C@]2(C=C(C3(CC3)[C@@]([C@H]2C1=O)(C)O)C)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O
88-72-2,DTXSID4025791,2-Nitrotoluene,MC,"ROC15, NTP, ToxRefDB, CCRIS, LCDB, Rudel2007",positive,negative,PLAZTCDQAHEYBI-UHFFFAOYSA-N,CC1=CC=CC=C1[N+](=O)[O-]
88133-11-3,DTXSID7020132,Bemitradine,MC,"CCRIS, LCDB, Rudel2007",negative,-,OZSPQIXKOVJJGE-UHFFFAOYSA-N,CCOCCC1=C(N=C(N2C1=NC=N2)N)C3=CC=CC=C3
91-94-1,DTXSID6020432,"3,3'-Dichlorobenzidine",MC,"IARC, ROC15, EPA_IRIS, ToxValDB, CCRIS, LCDB, Rudel2007",positive,-,HUWXDEQWWKGHRV-UHFFFAOYSA-N,C1=CC(=C(C=C1C2=CC(=C(C=C2)N)Cl)Cl)N
92-67-1,DTXSID5020071,4-Biphenylamine,MC,"IARC, ROC15, CCRIS, Rudel2007",positive,-,DMVOXQPQNTYEKQ-UHFFFAOYSA-N,C1=CC=C(C=C1)C2=CC=C(C=C2)N
92-87-5,DTXSID2020137,C.I. Azoic Diazo Component 112,MC,"IARC, ROC15, LCDB, Rudel2007",positive,"E2, P4",HFACYLZERDEVSX-UHFFFAOYSA-N,C1=CC(=CC=C1C2=CC=C(C=C2)N)N
93-15-2,DTXSID5025607,Methyleugenol,MC,"ROC15, NTP, ToxRefDB, CCRIS, LCDB, Rudel2007",positive,E2,ZYEMGPIYFIJGTP-UHFFFAOYSA-N,COC1=C(C=C(C=C1)CC=C)OC
94125-34-5,DTXSID9034868,Prosulfuron,MC,ToxRefDB,-,-,LTUNNEGNEKBSEH-UHFFFAOYSA-N,CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=CC=CC=C2CCC(F)(F)F
95-06-7,DTXSID7021289,Sulfallate,MC,"IARC, ROC15, NTP, CCRIS, LCDB, Rudel2007",positive,-,XJCLWVXTCRQIDI-UHFFFAOYSA-N,CCN(CC)C(=S)SCC(=C)Cl
95-53-4,DTXSID1026164,2-Methylaniline,MC,"IARC, ROC15, Rudel2007",positive,negative,RNVCVTLRINQCPJ-UHFFFAOYSA-N,CC1=CC=CC=C1N
95-80-7,DTXSID4020402,"2,4-Diaminotoluene",MC,"NTP, ToxRefDB, CCRIS, LCDB, Rudel2007",positive,*P4,VOZKAJLKRJDJLL-UHFFFAOYSA-N,CC1=C(C=C(C=C1)N)N
96-09-3,DTXSID2021286,Styrene oxide,MC,IARC,positive,negative,AWMVMTVKBNGEAK-UHFFFAOYSA-N,C1C(O1)C2=CC=CC=C2
96-12-8,DTXSID3020413,"1,2-Dibromo-3-chloropropane",MC,"IARC, ROC15, NTP, ToxRefDB, CCRIS, LCDB, Rudel2007",positive,-,WBEJYOJJBDISQU-UHFFFAOYSA-N,C(C(CBr)Br)Cl
96-13-9,DTXSID7021817,"2,3-Dibromopropanol",MC,"IARC, ROC15, NTP, CCRIS, Rudel2007",positive,-,QWVCIORZLNBIIC-UHFFFAOYSA-N,C(C(CBr)Br)O
96-18-4,DTXSID9021390,"1,2,3-Trichloropropane",MC,"IARC, ROC15, NTP, ToxRefDB, CCRIS, LCDB, Rudel2007",positive,negative,CFXQEHVMCRXUSD-UHFFFAOYSA-N,C(C(CCl)Cl)Cl
96724-44-6,DTXSID5020609,1-Ethylnitroso-3-(2-hydroxyethyl)urea,MC,"CCRIS, LCDB, Rudel2007",-,-,RXXXJEQCRPLSOQ-UHFFFAOYSA-N,CCN(C(=O)NCCO)N=O
96724-45-7,DTXSID6020725,1-(2-Hydroxyethyl)-nitroso-3-ethylurea,MC,"CCRIS, LCDB, Rudel2007",-,-,WOEOEFXOZUBXMR-UHFFFAOYSA-N,CCNC(=O)N(CCO)N=O
97-54-1,DTXSID7022413,Isoeugenol,MC,"NTP_equivocal, ToxRefDB",positive,"E2, *P4",BJIOGJUNALELMI-ONEGZZNKSA-N,C/C=C/C1=CC(=C(C=C1)O)OC
97-56-3,DTXSID1020069,o-Aminoazotoluene,MC,"ROC15, Rudel2007",positive,"E2, P4",PFRYFZZSECNQOL-UHFFFAOYSA-N,CC1=CC=CC=C1N=NC2=CC(=C(C=C2)N)C
979-32-8,DTXSID8023004,Estradiol valerate,MC,"CCRIS, Rudel2007",-,-,RSEPBGGWRJCQGY-RBRWEJTLSA-N,CCCCC(=O)O[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=C3C=CC(=C4)O)C
98-95-3,DTXSID3020964,Nitrobenzene,MC,"ROC15, CCRIS, LCDB, Rudel2007",positive,negative,LQNUZADURLCDLV-UHFFFAOYSA-N,C1=CC=C(C=C1)[N+](=O)[O-]
99-59-2,DTXSID0020943,5-Nitro-o-anisidine,MC,"IARC, ToxRefDB, Rudel2007",positive,P4,NIPDVSLAMPAWTP-UHFFFAOYSA-N,COC1=C(C=C(C=C1)[N+](=O)[O-])N
NOCAS_24069,DTXSID9024069,"2,4-/2,6-Dinitrotoluene mixture",MC,EPA_IRIS,-,-,,
X,-,Ionizing radiation,MC,"IARC, Rudel2007",positive,-,,
