ID (for name),Name and abbreviation,CAS no.,EC / List no.,Health effects,Environmental effects,Status,Regulatory Field,Year,Appears on lists,Source list,List category,IsomericSMILES,InChIKey
177,Methyl 4-hydroxybenzoate (Methylparaben),99-76-3,202-785-7,Yes,Yes,List III National Authority evaluation,,2025,"List II, List III",List III,List II,COC(=O)C1=CC=C(C=C1)O,LXCFILQKKLGQFO-UHFFFAOYSA-N
233,Prochloraz,67747-09-5,266-994-5,Yes,,List III National Authority evaluation,,2020,List III,List III,List III,CCCN(CCOC1=C(C=C(C=C1Cl)Cl)Cl)C(=O)N2C=CN=C2,TVLSRXXIMLFWEO-UHFFFAOYSA-N
249,Reaction products of phosphoryl trichloride and 2-methyloxirane (TCPP),1244733-77-4,807-935-0,Yes,Yes,Corap List,REACH,2022,"List II, List III",List III,List II,,
249,Reaction products of phosphoryl trichloride and 2-methyloxirane (TCPP),1244733-77-4,807-935-0,Yes,,Concluded ED in SEV,REACH,2023,"List II, List III",List III,List II,,
249,Reaction products of phosphoryl trichloride and 2-methyloxirane (TCPP),1244733-77-4,807-935-0,Yes,,List III National Authority evaluation,,2024,"List II, List III",List III,List II,,
249,Reaction products of phosphoryl trichloride and 2-methyloxirane (TCPP),1244733-77-4,807-935-0,Yes,,Classification proposed,CLH,2024,"List II, List III",List III,List II,,
250,Tris[2-chloro-1-(chloromethyl)ethyl] phosphate (TDCP),13674-87-8,237-159-2,Yes,,Classification proposed,CLH,2024,"List II, List III",List III,List II,C(C(CCl)OP(=O)(OC(CCl)CCl)OC(CCl)CCl)Cl,ASLWPAWFJZFCKF-UHFFFAOYSA-N
250,Tris[2-chloro-1-(chloromethyl)ethyl] phosphate (TDCP),13674-87-8,237-159-2,Yes,,List III National Authority evaluation,,2025,"List II, List III",List III,List II,C(C(CCl)OP(=O)(OC(CCl)CCl)OC(CCl)CCl)Cl,ASLWPAWFJZFCKF-UHFFFAOYSA-N
254,"Phenol, methylstyrenated; Oligomerisation and alkylation reaction products of 2-phenylpropene and phenol",68512-30-1,"270-966-8, 700-960-7",,Yes,Corap List,REACH,2012,"List II, List III",List III,List II,,
254,"Phenol, methylstyrenated; Oligomerisation and alkylation reaction products of 2-phenylpropene and phenol",68512-30-1,"270-966-8, 700-960-7",,Yes,Concluded ED in SEV,REACH,2024,"List II, List III",List III,List II,,
254,"Phenol, methylstyrenated; Oligomerisation and alkylation reaction products of 2-phenylpropene and phenol",68512-30-1,"270-966-8, 700-960-7",,Yes,List III National Authority evaluation,,2025,"List II, List III",List III,List II,,
264,2-tert-butyl-4-methoxyphenol (BHA),"25013-16-5, 121-00-6","246-563-8, 204-442-7",Yes,Yes,Corap List,REACH,2015,"List II, List III",List III,List II,CC(C)(C)C1=C(C=CC(=C1)OC)O,MRBKEAMVRSLQPH-UHFFFAOYSA-N
264,2-tert-butyl-4-methoxyphenol (BHA),"25013-16-5, 121-00-6","246-563-8, 204-442-7",Yes,,Commission EDC list,Cosmetics,2019,"List II, List III",List III,List II,CC(C)(C)C1=C(C=CC(=C1)OC)O,MRBKEAMVRSLQPH-UHFFFAOYSA-N
264,2-tert-butyl-4-methoxyphenol (BHA),"25013-16-5, 121-00-6","246-563-8, 204-442-7",Yes,,List III National Authority evaluation,,2022,"List II, List III",List III,List II,CC(C)(C)C1=C(C=CC(=C1)OC)O,MRBKEAMVRSLQPH-UHFFFAOYSA-N
264,2-tert-butyl-4-methoxyphenol (BHA),"25013-16-5, 121-00-6","246-563-8, 204-442-7",Yes,Yes,Concluded ED in SEV,REACH,2024,"List II, List III",List III,List II,CC(C)(C)C1=C(C=CC(=C1)OC)O,MRBKEAMVRSLQPH-UHFFFAOYSA-N
264,2-tert-butyl-4-methoxyphenol (BHA),"25013-16-5, 121-00-6","246-563-8, 204-442-7",Yes,Yes,Classification proposed,CLH,2025,"List II, List III",List III,List II,CC(C)(C)C1=C(C=CC(=C1)OC)O,MRBKEAMVRSLQPH-UHFFFAOYSA-N
388,"4,4'-isopropylidenedi-2,6-xylol (TMBPA)",5613-46-7,227-033-5,Yes,Yes,Corap List,REACH,2024,"List II, List III",List III,List II,CC1=CC(=CC(=C1O)C)C(C)(C)C2=CC(=C(C(=C2)C)O)C,ODJUOZPKKHIEOZ-UHFFFAOYSA-N
388,"4,4'-isopropylidenedi-2,6-xylol (TMBPA)",5613-46-7,227-033-5,Yes,Yes,Concluded ED in SEV,REACH,2025,"List II, List III",List III,List II,CC1=CC(=CC(=C1O)C)C(C)(C)C2=CC(=C(C(=C2)C)O)C,ODJUOZPKKHIEOZ-UHFFFAOYSA-N
388,"4,4'-isopropylidenedi-2,6-xylol (TMBPA)",5613-46-7,227-033-5,Yes,Yes,List III National Authority evaluation,,2025,"List II, List III",List III,List II,CC1=CC(=CC(=C1O)C)C(C)(C)C2=CC(=C(C(=C2)C)O)C,ODJUOZPKKHIEOZ-UHFFFAOYSA-N
388,"4,4'-isopropylidenedi-2,6-xylol (TMBPA)",5613-46-7,227-033-5,Yes,Yes,Classification proposed,CLH,2026,"List II, List III",List III,List II,CC1=CC(=CC(=C1O)C)C(C)(C)C2=CC(=C(C(=C2)C)O)C,ODJUOZPKKHIEOZ-UHFFFAOYSA-N
744,"Lithium salts (lithium chloride, lithium carbonate, lithium hydroxide)","7447-41-8, 554-13-2, 1310-65-2","231-212-3, 209-062-5, 215-183-4",Yes,,List III National Authority evaluation,,2024,List III,List III,List III,,
